,Player,Years Played,Height(cm),FT Pct
1443,Danilo Gallinari,12,208.28,0.874
1444,Langston Galloway,6,185.42000000000002,0.8392222222222223
1459,Darius Garland,1,185.42000000000002,0.902
1479,Marc Gasol,12,210.82,0.777
1484,Rudy Gay,14,203.2,0.8014736842105264
1494,Paul George,10,203.2,0.8330909090909092
1512,Harry Giles,2,210.82,0.6933333333333334
1513,Shai Gilgeous-Alexander,2,198.12,0.7896666666666667
1537,Rudy Gobert,7,213.36,0.5994999999999999
1549,Brandon Goodwin,2,182.88,0.8336666666666667
1551,Aaron Gordon,6,203.2,0.6884285714285713
1554,Eric Gordon,12,190.5,0.8081538461538462
1565,Devonte' Graham,2,185.42000000000002,0.7883333333333334
1583,Jerami Grant,6,203.2,0.6652222222222223
1604,Danny Green,11,198.12,0.7800909090909091
1606,Draymond Green,8,198.12,0.7158888888888888
1609,JaMychal Green,6,203.2,0.7843000000000001
1610,Javonte Green,1,193.04,0.657
1611,Jeff Green,13,203.2,0.805
1641,Blake Griffin,10,205.74,0.694
1671,Kyle Guy,1,185.42000000000002,0.833
1673,Rui Hachimura,1,203.2,0.7895000000000001
1741,Tim Hardaway,7,195.58,0.814
1742,James Harden,11,195.58,0.8584285714285713
1750,Maurice Harkless,8,200.66,0.5558181818181818
1755,Jared Harper,1,177.8,1.0
1760,Montrezl Harrell,5,200.66,0.6365
1773,Gary Harris,6,193.04,0.7875714285714286
1775,Joe Harris,6,198.12,0.7116666666666668
1781,Tobias Harris,9,203.2,0.8233888888888887
1787,Shaquille Harrison,3,200.66,0.671
1789,Josh Hart,3,195.58,0.7047500000000001
1790,Isaiah Hartenstein,2,213.36,0.6853333333333333
1816,Jaxson Hayes,1,210.82,0.629
1821,Gordon Hayward,10,200.66,0.8211999999999999
1862,Juan Hernangómez,4,205.74,0.7027142857142857
1863,Willy Hernangómez,4,210.82,0.5917142857142856
1867,Tyler Herro,1,195.58,0.8175
1882,Buddy Hield,4,193.04,0.8582857142857143
